x_coord,y_coord,pwe_pm25
558700,5948606,1.58504302552495e-06
558800,5948606,1.59623526578126e-06
558900,5948606,1.59623526578125e-06
559000,5948606,1.59623526578126e-06
559100,5948606,1.59623526578126e-06
559200,5948606,1.59579519735569e-06
559300,5948606,1.40507506867867e-06
559400,5948606,1.59623526578126e-06
559500,5948606,1.59623526578126e-06
559600,5948606,1.59623526578126e-06
559700,5948606,1.59623526578126e-06
559800,5948606,1.60770642858189e-06
559900,5948606,1.60770642858189e-06
560000,5948606,1.60883332680836e-06
560100,5948606,1.82206728572614e-06
560200,5948606,1.82206728572614e-06
560300,5948606,1.82206728572614e-06
560400,5948606,1.82206728572614e-06
560500,5948606,1.82206728572614e-06
560600,5948606,1.82206728572614e-06
560700,5948606,1.82206728572614e-06
560800,5948606,1.81524134535557e-06
560900,5948606,1.83879259691828e-06
561000,5948606,4.48471391205493e-06
561100,5948606,4.48471391205493e-06
561200,5948606,4.48471391205493e-06
561300,5948606,4.48471391205493e-06
561400,5948606,4.48471391205493e-06
561500,5948606,4.48471391205493e-06
561600,5948606,4.48471391205493e-06
561700,5948606,4.48471391205493e-06
561800,5948606,4.46376055804945e-06
561900,5948606,4.42847418021046e-06
562000,5948606,1.70048021259027e-06
562100,5948606,1.70048021259027e-06
562200,5948606,1.70048021259027e-06
562300,5948606,1.70048021259027e-06
562400,5948606,1.70048021259027e-06
562500,5948606,1.70048021259027e-06
562600,5948606,1.70048021259027e-06
562700,5948606,1.70048021259027e-06
562800,5948606,1.69526725603161e-06
562900,5948606,1.69526725603161e-06
563000,5948606,1.69526725603161e-06
563100,5948606,1.69526725603161e-06
563200,5948606,1.69526725603161e-06
563300,5948606,1.69526725603161e-06
563400,5948606,3.65100006464645e-06
563500,5948606,0.000109822019067618
563600,5948606,0.000110983350268926
563700,5948606,1.69526725603161e-06
563800,5948606,1.69649377757442e-06
563900,5948606,1.69649377757443e-06
564000,5948606,1.69649377757443e-06
564100,5948606,4.43973672684578e-06
564200,5948606,0.000135518082108646
564300,5948606,0.000238675468332502
564400,5948606,0.000238675468332502
564500,5948606,0.000238675468332502
564600,5948606,0.000238675468332502
564700,5948606,0.000238675468332502
564800,5948606,0.000240813815813372
564900,5948606,0.000240813815813372
565000,5948606,0.000234927622144768
565100,5948606,4.49319425329259e-06
565200,5948606,4.49319425329259e-06
565300,5948606,4.49319425329259e-06
565400,5948606,1.07468630668209e-05
565500,5948606,0.000240813815813372
565600,5948606,0.000240813815813372
565700,5948606,0.000242214026418101
565800,5948606,0.000252704154572822
565900,5948606,0.000254021804208107
566000,5948606,0.00025504412345314
